,open,high,low,close,volume,timestamp
0,160.58,160.76,160.51,160.51,266236.0,2017-09-11 09:31:00
1,160.525,160.53,160.23,160.32,209863.0,2017-09-11 09:32:00
2,160.32,160.36,160.03,160.15,205695.0,2017-09-11 09:33:00
3,160.15,160.3,160.1001,160.2799,140139.0,2017-09-11 09:34:00
4,160.2672,160.2799,159.9,160.02,218070.0,2017-09-11 09:35:00
5,160.0305,160.3,159.89,160.285,149953.0,2017-09-11 09:36:00
6,160.29,160.4873,160.23,160.48,170088.0,2017-09-11 09:37:00
7,160.49,160.63,160.48,160.52,190686.0,2017-09-11 09:38:00
8,160.53,160.75,160.44,160.7479,180297.0,2017-09-11 09:39:00
9,160.75,160.88,160.7,160.78,202289.0,2017-09-11 09:40:00
10,160.775,160.85,160.64,160.8,104098.0,2017-09-11 09:41:00
11,160.81,160.94,160.78799999999998,160.79,204042.0,2017-09-11 09:42:00
12,160.79,161.04,160.79,161.04,216978.0,2017-09-11 09:43:00
13,161.0399,161.08,160.93,161.03,182435.0,2017-09-11 09:44:00
14,161.04,161.19,161.04,161.148,153796.0,2017-09-11 09:45:00
15,161.14,161.16,161.02,161.02,114352.0,2017-09-11 09:46:00
16,161.0101,161.065,160.95,161.05,102411.0,2017-09-11 09:47:00
17,161.06,161.27,161.04,161.24,211686.0,2017-09-11 09:48:00
18,161.25,161.29,161.16,161.1801,199552.0,2017-09-11 09:49:00
19,161.1829,161.345,161.16,161.25,152643.0,2017-09-11 09:50:00
20,161.26,161.27,161.17,161.185,143252.0,2017-09-11 09:51:00
21,161.1875,161.23,161.03,161.04,142122.0,2017-09-11 09:52:00
22,161.07,161.11,161.02,161.07,91517.0,2017-09-11 09:53:00
23,161.08,161.27,161.08,161.22,125560.0,2017-09-11 09:54:00
24,161.22,161.27,161.2,161.25,99391.0,2017-09-11 09:55:00
25,161.26,161.41899999999998,161.25,161.3576,184448.0,2017-09-11 09:56:00
26,161.35,161.42,161.29,161.3,73206.0,2017-09-11 09:57:00
27,161.31,161.4,161.29,161.36,78163.0,2017-09-11 09:58:00
28,161.36,161.49,161.31,161.4601,151854.0,2017-09-11 09:59:00
29,161.47,161.48,161.34,161.42,92984.0,2017-09-11 10:00:00
30,161.41,161.6,161.41,161.59,144023.0,2017-09-11 10:01:00
31,161.6,161.75,161.59,161.74,138548.0,2017-09-11 10:02:00
32,161.74,161.9299,161.71,161.87,216252.0,2017-09-11 10:03:00
33,161.87,162.0,161.8,161.92,169899.0,2017-09-11 10:04:00
34,161.92,161.98,161.76,161.7601,150958.0,2017-09-11 10:05:00
35,161.7601,162.0,161.75,162.0,197132.0,2017-09-11 10:06:00
36,162.0,162.05,161.95,162.02,169337.0,2017-09-11 10:07:00
37,162.02,162.03,161.81,161.86,145771.0,2017-09-11 10:08:00
38,161.87,161.915,161.77,161.81,84555.0,2017-09-11 10:09:00
39,161.8,161.888,161.775,161.79,67264.0,2017-09-11 10:10:00
40,161.79,161.8199,161.57,161.795,169348.0,2017-09-11 10:11:00
41,161.7954,161.81,161.71,161.71,67350.0,2017-09-11 10:12:00
42,161.71,161.76,161.641,161.6759,83451.0,2017-09-11 10:13:00
43,161.6707,161.83,161.6707,161.7656,103330.0,2017-09-11 10:14:00
44,161.76,161.82,161.6111,161.71,91112.0,2017-09-11 10:15:00
45,161.7213,161.9,161.71,161.8649,77185.0,2017-09-11 10:16:00
46,161.87,161.8899,161.8047,161.81,79174.0,2017-09-11 10:17:00
47,161.81,161.87,161.7614,161.79,51984.0,2017-09-11 10:18:00
48,161.8,161.85,161.76,161.77,60091.0,2017-09-11 10:19:00
49,161.87,161.89,161.85,161.89,16828.0,2017-09-11 10:20:00
50,161.9,161.97,161.87,161.97,81717.0,2017-09-11 10:21:00
51,161.9601,161.97,161.8643,161.9201,70595.0,2017-09-11 10:22:00
52,161.93,161.96,161.89,161.92,69815.0,2017-09-11 10:23:00
53,161.92,161.92,161.8,161.88,69988.0,2017-09-11 10:24:00
54,161.885,161.95,161.885,161.92,101100.0,2017-09-11 10:25:00
55,161.92,161.93,161.8607,161.9,49520.0,2017-09-11 10:26:00
56,161.8965,161.91,161.83,161.8638,61781.0,2017-09-11 10:27:00
57,161.86,161.9199,161.81,161.81,66052.0,2017-09-11 10:28:00
58,161.815,161.87,161.78,161.87,60176.0,2017-09-11 10:29:00
59,161.8799,161.95,161.872,161.91,66586.0,2017-09-11 10:30:00
60,161.915,162.0,161.915,161.95,88876.0,2017-09-11 10:31:00
61,161.9594,161.9594,161.86,161.905,59204.0,2017-09-11 10:32:00
62,161.9,161.905,161.82,161.82,74036.0,2017-09-11 10:33:00
63,161.8222,161.87,161.81,161.83,58758.0,2017-09-11 10:34:00
64,161.8347,161.84,161.76,161.7853,72166.0,2017-09-11 10:35:00
65,161.79,161.85,161.77,161.84,40139.0,2017-09-11 10:36:00
66,161.83,161.92,161.83,161.84,50408.0,2017-09-11 10:37:00
67,161.84,161.84,161.75,161.81,82713.0,2017-09-11 10:38:00
68,161.81,161.84,161.79,161.82,42644.0,2017-09-11 10:39:00
69,161.815,161.84,161.77,161.825,67588.0,2017-09-11 10:40:00
70,161.825,161.88,161.79,161.8401,51533.0,2017-09-11 10:41:00
71,161.85,161.86,161.8,161.8348,34561.0,2017-09-11 10:42:00
72,161.83,161.88,161.81,161.86,26969.0,2017-09-11 10:43:00
73,161.865,161.9,161.82,161.83,51153.0,2017-09-11 10:44:00
74,161.85,161.87,161.8,161.8,39700.0,2017-09-11 10:45:00
75,161.804,161.85,161.76,161.84,43068.0,2017-09-11 10:46:00
76,161.8301,161.86,161.78,161.82,41413.0,2017-09-11 10:47:00
77,161.83,161.86,161.8201,161.8416,57975.0,2017-09-11 10:48:00
78,161.86,161.9,161.84,161.86,60884.0,2017-09-11 10:49:00
79,161.86,161.87,161.81,161.85,39686.0,2017-09-11 10:50:00
80,161.855,161.88,161.83,161.88,42517.0,2017-09-11 10:51:00
81,161.87,161.89,161.85,161.86,32861.0,2017-09-11 10:52:00
82,161.86,161.86,161.82,161.855,25742.0,2017-09-11 10:53:00
83,161.855,161.86,161.69,161.74,126933.0,2017-09-11 10:54:00
84,161.74,161.78,161.71,161.77,35732.0,2017-09-11 10:55:00
85,161.76,161.78,161.75,161.77100000000002,27914.0,2017-09-11 10:56:00
86,161.78,161.785,161.5501,161.5648,140225.0,2017-09-11 10:57:00
87,161.5607,161.5701,161.35,161.3734,143299.0,2017-09-11 10:58:00
88,161.38,161.43,161.27,161.3407,130186.0,2017-09-11 10:59:00
89,161.35,161.37,161.22,161.34,90040.0,2017-09-11 11:00:00
90,161.3399,161.3399,161.22,161.2901,80612.0,2017-09-11 11:01:00
91,161.29,161.37,161.29,161.37,54384.0,2017-09-11 11:02:00
92,161.36,161.4,161.34,161.3792,62002.0,2017-09-11 11:03:00
93,161.38,161.3999,161.35,161.38,42938.0,2017-09-11 11:04:00
94,161.3895,161.4,161.34,161.37,61635.0,2017-09-11 11:05:00
95,161.37,161.39,161.3001,161.32,61602.0,2017-09-11 11:06:00
96,161.3101,161.3166,161.24,161.27,71417.0,2017-09-11 11:07:00
97,161.27,161.38,161.27,161.35,65451.0,2017-09-11 11:08:00
98,161.34,161.345,161.2643,161.29,28609.0,2017-09-11 11:09:00
99,161.29,161.31,161.2757,161.31,40795.0,2017-09-11 11:10:00
100,161.31,161.36,161.3079,161.335,41513.0,2017-09-11 11:11:00
101,161.33,161.33,161.2,161.22,78745.0,2017-09-11 11:12:00
102,161.22,161.25,161.17,161.24,61792.0,2017-09-11 11:13:00
103,161.24,161.25,161.11,161.1243,41613.0,2017-09-11 11:14:00
104,161.125,161.14,161.09,161.11,63535.0,2017-09-11 11:15:00
105,161.1048,161.11,160.87,160.87,190257.0,2017-09-11 11:16:00
106,160.87,161.05,160.86,161.0454,77517.0,2017-09-11 11:17:00
107,161.0436,161.045,160.97,160.9848,70555.0,2017-09-11 11:18:00
108,160.99,161.1098,160.97,161.1098,69565.0,2017-09-11 11:19:00
109,161.11,161.17,161.08,161.13,74565.0,2017-09-11 11:20:00
110,161.13,161.19,161.1,161.1484,49597.0,2017-09-11 11:21:00
111,161.1496,161.2456,161.1476,161.24,45050.0,2017-09-11 11:22:00
112,161.24,161.29,161.076,161.076,73333.0,2017-09-11 11:23:00
113,161.08,161.17,161.07,161.15,39671.0,2017-09-11 11:24:00
114,161.14,161.14,160.95,160.96,90378.0,2017-09-11 11:25:00
115,160.96,161.04,160.96,161.03,50246.0,2017-09-11 11:26:00
116,161.04,161.07,161.02,161.06,45799.0,2017-09-11 11:27:00
117,161.07,161.15,161.0643,161.13,66773.0,2017-09-11 11:28:00
118,161.125,161.16,161.09,161.1565,35128.0,2017-09-11 11:29:00
119,161.16,161.16,161.0999,161.1,48677.0,2017-09-11 11:30:00
120,161.0901,161.14,161.0901,161.13,35969.0,2017-09-11 11:31:00
121,161.13,161.22,161.095,161.1875,55052.0,2017-09-11 11:32:00
122,161.185,161.25,161.185,161.22,33567.0,2017-09-11 11:33:00
123,161.23,161.28,161.22,161.28,62198.0,2017-09-11 11:34:00
124,161.28,161.33,161.2701,161.32,47622.0,2017-09-11 11:35:00
125,161.32,161.32,161.23,161.25,49465.0,2017-09-11 11:36:00
126,161.24,161.285,161.22,161.2634,14974.0,2017-09-11 11:37:00
127,161.2658,161.33,161.265,161.31,48943.0,2017-09-11 11:38:00
128,161.31799999999998,161.39,161.29,161.38,120932.0,2017-09-11 11:39:00
129,161.39,161.47,161.38,161.445,80490.0,2017-09-11 11:40:00
130,161.45,161.52,161.39,161.52,93332.0,2017-09-11 11:41:00
131,161.51,161.515,161.41,161.4816,46894.0,2017-09-11 11:42:00
132,161.485,161.506,161.46,161.46,29381.0,2017-09-11 11:43:00
133,161.4615,161.49,161.42,161.47,61685.0,2017-09-11 11:44:00
134,161.475,161.4772,161.41,161.44,54575.0,2017-09-11 11:45:00
135,161.4453,161.49,161.4,161.438,39639.0,2017-09-11 11:46:00
136,161.43,161.4548,161.41,161.4501,28286.0,2017-09-11 11:47:00
137,161.4521,161.5,161.415,161.4599,46874.0,2017-09-11 11:48:00
138,161.4599,161.53,161.4366,161.52,26734.0,2017-09-11 11:49:00
139,161.525,161.53,161.4,161.412,45291.0,2017-09-11 11:50:00
140,161.42,161.42,161.34,161.385,43891.0,2017-09-11 11:51:00
141,161.3858,161.4253,161.38,161.4126,31856.0,2017-09-11 11:52:00
142,161.4132,161.43,161.41,161.42,24145.0,2017-09-11 11:53:00
143,161.42,161.46,161.385,161.45,32339.0,2017-09-11 11:54:00
144,161.4507,161.54,161.44,161.5399,46515.0,2017-09-11 11:55:00
145,161.53,161.5375,161.5,161.5,26789.0,2017-09-11 11:56:00
146,161.51,161.5853,161.5,161.58,42740.0,2017-09-11 11:57:00
147,161.5668,161.59,161.55,161.59,36355.0,2017-09-11 11:58:00
148,161.59,161.62,161.58,161.605,35358.0,2017-09-11 11:59:00
149,161.6091,161.62,161.54,161.5803,41566.0,2017-09-11 12:00:00
150,161.5879,161.6,161.55,161.585,26254.0,2017-09-11 12:01:00
151,161.59,161.61,161.5607,161.6,55532.0,2017-09-11 12:02:00
152,161.6,161.61,161.56,161.5707,38061.0,2017-09-11 12:03:00
153,161.58,161.59,161.51,161.535,20450.0,2017-09-11 12:04:00
154,161.539,161.5399,161.48,161.49,30936.0,2017-09-11 12:05:00
155,161.5,161.5,161.45,161.46,29895.0,2017-09-11 12:06:00
156,161.47,161.48,161.42,161.47,33348.0,2017-09-11 12:07:00
157,161.47,161.47,161.42,161.42,20969.0,2017-09-11 12:08:00
158,161.4101,161.43,161.4,161.4027,16257.0,2017-09-11 12:09:00
159,161.41,161.45,161.39,161.44,44182.0,2017-09-11 12:10:00
160,161.43,161.45,161.41,161.44,35349.0,2017-09-11 12:11:00
161,161.4491,161.48,161.43,161.48,31179.0,2017-09-11 12:12:00
162,161.48,161.5,161.4701,161.5,22596.0,2017-09-11 12:13:00
163,161.495,161.53,161.49,161.51,41346.0,2017-09-11 12:14:00
164,161.51,161.51,161.47,161.4758,18490.0,2017-09-11 12:15:00
165,161.47,161.52,161.45,161.5,32980.0,2017-09-11 12:16:00
166,161.51,161.64,161.505,161.64,43247.0,2017-09-11 12:17:00
167,161.635,161.64,161.59,161.64,42063.0,2017-09-11 12:18:00
168,161.6311,161.65,161.61,161.64,27707.0,2017-09-11 12:19:00
169,161.63,161.68,161.62,161.671,19460.0,2017-09-11 12:20:00
170,161.6731,161.69,161.66,161.68,26830.0,2017-09-11 12:21:00
171,161.68,161.69,161.66,161.67,38948.0,2017-09-11 12:22:00
172,161.6735,161.685,161.62,161.685,30201.0,2017-09-11 12:23:00
173,161.685,161.7,161.67,161.69299999999998,25028.0,2017-09-11 12:24:00
174,161.7,161.74,161.69,161.6953,41059.0,2017-09-11 12:25:00
175,161.6908,161.73,161.635,161.635,34218.0,2017-09-11 12:26:00
176,161.6375,161.64,161.58,161.5908,29175.0,2017-09-11 12:27:00
177,161.599,161.66,161.56,161.66,34313.0,2017-09-11 12:28:00
